Start (ms)	Stop (ms)	seq.pulse_length	Doppler PMT	PMT1_2(sum)	PMT1_2(0)	PMT1_2(1)	PMT1_2(2)	PMT1_2(3)	PMT1_2(4)	PMT1_2(5)	PMT1_2(6)	PMT1_2(7)	PMT1_2(8)	PMT1_2(9)	PMT1_2(10)	PMT1_2(11)	PMT1_2(12)	PMT1_2(13)	PMT1_2(14)	PMT1_2(15)	PMT1_2(16)	PMT1_2(17)	PMT1_2(18)	PMT1_2(19)	PMT1_2(20)	PMT1_2(21)	PMT1_2(22)	PMT1_2(23)	PMT1_2(24)	PMT1_2(25)	PMT1_2(26)	PMT1_2(27)	PMT1_2(28)	PMT1_2(29)	PMT1_2(30)	PMT1_2(31)	PMT1_2(32)	PMT1_2(33)	PMT1_2(34)	PMT1_2(35)	PMT1_2(36)	PMT1_2(37)	PMT1_2(38)	PMT1_2(39)	PMT1_2(40)	PMT1_2(41)	PMT1_2(42)	PMT1_2(43)	PMT1_2(44)	PMT1_2(45)	PMT1_2(46)	PMT1_2(47)	PMT1_2(48)	PMT1_2(49)	PMT1_2(50)	PMT1_2(51)	PMT1_2(52)	PMT1_2(53)	PMT1_2(54)	PMT1_2(55)	PMT1_2(56)	PMT1_2(57)	PMT1_2(58)	PMT1_2(59)	PMT1_2(60)	PMT1_2(61)	PMT1_2(62)	PMT1_2(63)	PMT1_2(64)	PMT1_2(65)	PMT1_2(66)	PMT1_2(67)	PMT1_2(68)	PMT1_2(69)	PMT1_2(70)	PMT1_2(71)	PMT1_2(72)	PMT1_2(73)	PMT1_2(74)	PMT1_2(75)	PMT1_2(76)	PMT1_2(77)	PMT1_2(78)	PMT1_2(79)	PMT1_2(80)	PMT1_2(81)	PMT1_2(82)	PMT1_2(83)	PMT1_2(84)	PMT1_2(85)	PMT1_2(86)	PMT1_2(87)	PMT1_2(88)	PMT1_2(89)	PMT1_2(90)	PMT1_2(91)	PMT1_2(92)	PMT1_2(93)	PMT1_2(94)	PMT1_2(95)	PMT1_2(96)	PMT1_2(97)	PMT1_2(98)	PMT1_2(99)
1,5378E+12	1,5378E+12	0.060190	1	3976	46	43	32	49	37	52	49	43	39	51	31	38	39	46	48	46	52	46	35	38	50	55	51	41	32	31	39	33	51	35	32	44	45	37	39	44	32	43	34	45	31	28	30	31	47	32	36	35	28	45	47	33	38	39	45	30	32	43	43	31	43	41	21	37	35	48	44	47	49	41	33	47	33	48	39	44	43	37	41	40	39	44	34	40	48	42	40	43	35	32	39	42	40	38	33	37	31	38	32	41
1,5378E+12	1,5378E+12	0.662600	1	4229	36	48	44	31	170	45	42	36	43	33	51	39	48	46	38	48	41	41	45	33	32	53	32	53	36	44	40	43	41	35	38	40	36	48	48	41	49	29	42	41	34	35	42	69	33	33	40	33	34	32	27	37	50	42	46	32	37	49	43	37	37	48	37	42	41	44	45	39	36	27	39	32	45	36	37	41	43	56	40	42	37	47	47	38	51	46	45	47	47	39	40	26	46	35	39	51	41	41	49	46
1,5378E+12	1,5378E+12	1.265.010	1	3814	42	40	7	45	54	37	39	34	36	50	33	29	36	34	33	43	37	41	38	44	38	49	42	46	39	41	46	48	35	35	69	43	37	38	37	46	32	27	36	39	35	36	39	40	29	43	45	39	39	33	33	41	43	40	39	46	37	45	36	28	31	41	29	41	37	32	39	34	52	31	41	43	30	49	48	32	36	41	33	41	42	38	41	38	43	38	32	33	41	11	29	31	46	40	36	41	3	31	51	47
1,5378E+12	1,5378E+12	1.867.420	1	3738	35	43	10	38	36	42	46	47	39	44	44	47	41	41	47	33	77	33	46	33	45	33	30	10	44	33	37	38	41	16	41	42	6	49	46	37	42	7	34	30	40	37	35	43	38	34	31	35	12	29	39	52	12	33	36	56	12	49	43	44	44	40	38	47	53	44	40	48	36	37	48	40	44	33	44	38	34	8	35	37	33	11	39	40	37	30	34	43	34	40	37	38	42	43	54	42	38	33	39	50
1,5378E+12	1,5378E+12	2.469.830	1	3558	31	50	46	8	1	6	6	32	42	33	51	29	33	38	40	42	52	25	32	46	35	45	41	38	44	7	41	46	50	40	25	42	45	4	46	9	36	41	31	9	34	37	5	9	44	42	36	40	13	6	46	46	42	31	49	46	28	34	49	44	40	40	41	24	47	37	35	39	35	48	41	6	45	46	41	39	45	45	38	45	38	38	47	46	40	5	36	11	43	57	31	42	33	38	46	38	74	33	41	45
1,5378E+12	1,5378E+12	3.072.240	1	2995	39	36	28	8	8	50	8	9	39	36	5	39	7	39	1	37	30	7	59	34	40	43	37	38	40	44	43	15	34	9	31	47	51	33	52	38	39	10	35	8	38	28	33	17	38	7	9	4	31	8	40	3	9	8	24	10	21	45	43	48	43	40	40	41	50	49	12	44	38	41	40	43	12	45	37	4	39	41	44	29	48	37	36	70	4	34	39	39	6	9	7	10	47	39	7	13	48	44	7	49
1,5378E+12	1,5378E+12	3.674.650	1	2748	11	9	8	41	46	39	13	40	45	9	7	46	29	57	13	43	36	41	36	42	38	42	9	47	38	9	50	7	57	42	4	50	39	6	7	8	6	8	5	9	7	31	31	11	14	43	10	36	34	13	3	36	8	43	12	33	8	11	10	44	7	36	47	43	37	11	6	11	9	4	165	6	64	11	52	49	43	42	40	10	33	9	44	47	45	6	41	4	38	31	8	47	34	31	40	11	32	9	5	10
1,5378E+12	1,5378E+12	4.277.060	1	2779	43	9	19	37	5	11	104	39	11	10	9	4	34	7	10	47	46	52	40	54	43	6	11	6	33	35	34	12	36	10	8	55	32	39	43	42	8	7	38	6	12	52	9	6	37	11	43	42	43	11	7	7	29	40	35	37	40	8	7	7	45	42	43	10	37	43	43	10	43	7	45	35	35	48	28	9	38	44	6	37	35	35	10	11	3	30	10	32	10	32	12	16	43	39	39	44	36	47	37	32
1,5378E+12	1,5378E+12	4.879.470	1	2296	53	42	9	6	30	50	50	11	34	7	7	10	42	10	11	29	40	43	8	45	7	10	7	47	9	37	29	13	14	14	31	5	27	34	9	5	7	5	34	18	10	58	30	36	8	7	9	7	45	6	11	8	6	13	47	32	49	44	6	11	7	6	43	11	8	6	42	4	49	7	40	11	36	37	7	27	11	32	9	36	6	6	51	6	6	30	6	36	43	10	44	35	43	5	12	46	36	43	51	10
1,5378E+12	1,5378E+12	5.481.880	1	1926	40	15	41	50	7	14	6	38	15	44	5	5	10	10	41	4	41	41	5	3	10	40	10	13	7	5	37	6	9	6	9	11	11	12	4	5	8	39	7	5	45	7	37	36	10	16	6	13	9	5	7	6	11	40	34	46	12	14	9	29	8	9	11	39	9	48	6	8	14	11	37	47	36	6	36	8	44	10	8	35	2	13	40	38	7	7	45	9	4	5	10	43	6	35	43	39	41	10	8	10
1,5378E+12	1,5378E+12	6.686.700	1	1598	8	11	12	48	9	12	51	40	35	13	15	45	13	6	10	8	31	11	12	40	5	12	6	10	6	5	36	40	12	38	49	7	8	12	42	7	13	40	37	8	13	10	15	5	7	44	13	7	6	3	12	9	10	32	7	12	44	3	10	8	8	12	3	5	9	16	6	42	3	5	40	8	5	28	9	7	6	6	9	36	9	10	8	39	5	9	13	11	15	6	42	11	7	9	6	8	9	6	11	8
1,5378E+12	1,5378E+12	7.289.110	1	1143	13	1	6	9	7	2	8	11	6	8	9	9	12	7	7	7	10	15	12	28	11	4	7	6	3	42	36	9	7	9	11	7	6	5	8	6	44	7	11	7	11	5	29	9	4	4	16	5	5	7	4	6	6	6	9	17	47	7	10	14	7	9	6	12	8	5	9	10	46	5	10	10	9	9	13	15	51	8	9	10	5	10	9	11	8	8	10	7	10	17	7	10	14	8	40	10	11	14	6	13
1,5378E+12	1,5378E+12	7.891.520	1	1081	10	12	10	3	7	5	36	8	44	6	13	5	8	9	2	7	31	7	10	4	39	10	12	5	6	14	6	5	10	9	15	10	14	5	9	6	40	8	13	4	10	11	5	5	11	8	3	6	3	7	5	7	7	11	3	36	6	9	3	4	8	6	3	15	4	6	11	12	8	10	5	35	7	6	11	8	8	6	13	15	9	6	6	36	37	5	9	5	3	7	11	11	8	12	9	13	40	8	5	7
