x,w01,w02
-1.0000,3.3768,4.2139,
-0.9980,3.3767,4.2139,
-0.9960,3.3766,4.2137,
-0.9940,3.3764,4.2135,
-0.9920,3.3760,4.2131,
-0.9900,3.3756,4.2127,
-0.9880,3.3750,4.2121,
-0.9860,3.3744,4.2115,
-0.9840,3.3737,4.2107,
-0.9820,3.3728,4.2099,
-0.9800,3.3719,4.2089,
-0.9780,3.3709,4.2079,
-0.9760,3.3698,4.2067,
-0.9740,3.3686,4.2055,
-0.9720,3.3672,4.2041,
-0.9700,3.3658,4.2027,
-0.9680,3.3643,4.2011,
-0.9660,3.3627,4.1995,
-0.9640,3.3610,4.1977,
-0.9620,3.3592,4.1959,
-0.9600,3.3573,4.1939,
-0.9580,3.3553,4.1919,
-0.9560,3.3532,4.1897,
-0.9540,3.3510,4.1875,
-0.9520,3.3487,4.1851,
-0.9499,3.3463,4.1826,
-0.9479,3.3438,4.1801,
-0.9459,3.3412,4.1774,
-0.9439,3.3386,4.1747,
-0.9419,3.3358,4.1718,
-0.9399,3.3329,4.1688,
-0.9379,3.3299,4.1658,
-0.9359,3.3268,4.1626,
-0.9339,3.3237,4.1593,
-0.9319,3.3204,4.1560,
-0.9299,3.3170,4.1525,
-0.9279,3.3135,4.1489,
-0.9259,3.3100,4.1452,
-0.9239,3.3063,4.1415,
-0.9219,3.3025,4.1376,
-0.9199,3.2987,4.1336,
-0.9179,3.2947,4.1295,
-0.9159,3.2906,4.1253,
-0.9139,3.2865,4.1210,
-0.9119,3.2822,4.1167,
-0.9099,3.2778,4.1122,
-0.9079,3.2734,4.1076,
-0.9059,3.2688,4.1029,
-0.9039,3.2641,4.0980,
-0.9019,3.2594,4.0931,
-0.8999,3.2545,4.0881,
-0.8979,3.2495,4.0830,
-0.8959,3.2445,4.0778,
-0.8939,3.2393,4.0725,
-0.8919,3.2341,4.0670,
-0.8899,3.2287,4.0615,
-0.8879,3.2232,4.0558,
-0.8859,3.2177,4.0501,
-0.8839,3.2120,4.0442,
-0.8819,3.2062,4.0383,
-0.8799,3.2004,4.0322,
-0.8779,3.1944,4.0260,
-0.8759,3.1883,4.0198,
-0.8739,3.1821,4.0134,
-0.8719,3.1759,4.0069,
-0.8699,3.1695,4.0003,
-0.8679,3.1630,3.9936,
-0.8659,3.1564,3.9868,
-0.8639,3.1497,3.9798,
-0.8619,3.1429,3.9728,
-0.8599,3.1361,3.9657,
-0.8579,3.1291,3.9584,
-0.8559,3.1220,3.9511,
-0.8539,3.1148,3.9436,
-0.8519,3.1075,3.9360,
