x, y
-25.4400,-23.8086
 -24.9600,-23.7312
 -24.4800,-23.7771
 -24.0000,-23.7720
 -23.5200,-23.7377
 -23.0400,-23.8678
 -22.5600,-23.6807
 -22.0800,-23.7228
 -21.6000,-23.7879
 -21.1200,-23.8944
 -20.6400,-23.8012
 -20.1600,-23.6882
 -19.6800,-23.6541
 -19.2000,-23.8355
 -18.7200,-23.8152
 -18.2400,-23.7342
 -17.7600,-23.8270
 -17.2800,-23.8858
 -16.8000,-23.8341
 -16.3200,-23.9021
 -15.8400,-23.8636
 -15.3600,-23.9529
 -14.8800,-23.7733
 -14.4000,-23.9357
 -13.9200,-24.1208
 -13.4400,-23.8934
 -12.9600,-23.9723
 -12.4800,-24.0562
 -12.0000,-23.9411
 -11.5200,-23.9699
 -11.0400,-24.1559
 -10.5600,-24.2222
 -10.0800,-24.1965
 -9.6000,-24.1876
 -9.1200,-24.4277
 -8.6400,-24.3160
 -8.1600,-24.5352
 -7.6800,-24.5311
 -7.2000,-24.6452
 -6.7200,-24.7160
 -6.2400,-25.0724
 -5.7600,-25.1184
 -5.2800,-25.4193
 -4.8000,-25.6733
 -4.3200,-26.1043
 -3.8400,-26.4083
 -3.3600,-26.9894
 -2.8800,-27.3159
 -2.4000,-27.9785
 -1.9200,-29.1950
 -1.4400,-30.1655
 -0.9600,-31.0397
 -0.4800,-31.5142
 0.0000,-31.7719
 0.4800,-30.5190
 0.9600,-29.8142
 1.4400,-28.9631
 1.9200,-27.9256
 2.4000,-27.1619
 2.8800,-26.8559
 3.3600,-26.1781
 3.8400,-25.7283
 4.3200,-25.5072
 4.8000,-25.2543
 5.2800,-24.9534
 5.7600,-24.9652
 6.2400,-24.5917
 6.7200,-24.6096
 7.2000,-24.5335
 7.6800,-24.4111
 8.1600,-24.3803
 8.6400,-24.3778
 9.1200,-24.1238
 9.6000,-24.1198
 10.0800,-24.0229
 10.5600,-24.1398
 11.0400,-23.9516
 11.5200,-24.1057
 12.0000,-24.0743
 12.4800,-24.0788
 12.9600,-23.9240
 13.4400,-23.8493
 13.9200,-23.8673
 14.4000,-24.0525
 14.8800,-23.8205
 15.3600,-23.7733
 15.8400,-23.8949
 16.3200,-23.7189
 16.8000,-23.8332
 17.2800,-23.8213
 17.7600,-23.6006
 18.2400,-23.8213
 18.7200,-23.9136
 19.2000,-23.6484
 19.6800,-23.8062
 20.1600,-23.8641
 20.6400,-23.9131
 21.1200,-23.6522
 21.6000,-23.6772
 22.0800,-23.6619
 
